"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1615938969,0,0,0,0,0,4520,8321,9166,16643,4495,8276,9116,16553,25,45,50,90
1615938970,0,0,0,0,0,4545,8366,9216,16733,4520,8321,9166,16643,25,45,50,90
1615938971,0,0,0,0,0,4570,8412,9266,16825,4545,8366,9216,16733,25,46,50,92
1615938972,0,0,0,0,0,4596,8457,9318,16915,4570,8412,9266,16825,26,45,52,90
1615938973,0,0,0,0,0,4614,8491,9354,16983,4596,8457,9318,16915,18,34,36,68
1615938974,0,0,0,0,0,4639,8536,9406,17073,4614,8491,9354,16983,25,45,52,90
1615938975,0,0,0,0,0,4665,8581,9456,17163,4639,8536,9406,17073,26,45,50,90
1615938976,0,0,0,0,0,4690,8626,9506,17253,4665,8581,9456,17163,25,45,50,90
1615938977,0,0,0,0,0,4716,8674,9558,17349,4690,8626,9506,17253,26,48,52,96
1615938978,0,0,0,0,0,4735,8708,9596,17417,4716,8674,9558,17349,19,34,38,68
1615938979,0,0,0,0,0,4760,8753,9646,17507,4735,8708,9596,17417,25,45,50,90
1615938980,0,0,0,0,0,4785,8798,9698,17597,4760,8753,9646,17507,25,45,52,90
1615938981,0,0,0,0,0,4811,8843,9748,17687,4785,8798,9698,17597,26,45,50,90
1615938982,0,0,0,0,0,4836,8888,9798,17777,4811,8843,9748,17687,25,45,50,90
1615938983,0,0,0,0,0,4855,8924,9838,17849,4836,8888,9798,17777,19,36,40,72
1615938984,0,0,0,0,0,4881,8970,9888,17941,4855,8924,9838,17849,26,46,50,92
1615938985,0,0,0,0,0,4906,9015,9938,18031,4881,8970,9888,17941,25,45,50,90
1615938986,0,0,0,0,0,4931,9060,9990,18121,4906,9015,9938,18031,25,45,52,90
1615938987,0,0,0,0,0,4951,9094,10028,18189,4931,9060,9990,18121,20,34,38,68
1615938988,0,0,0,0,0,4975,9139,10078,18279,4951,9094,10028,18189,24,45,50,90
1615938989,0,0,0,0,0,5001,9184,10128,18369,4975,9139,10078,18279,26,45,50,90
1615938990,0,0,0,0,0,5026,9229,10178,18459,5001,9184,10128,18369,25,45,50,90
1615938991,0,0,0,0,0,5051,9275,10228,18551,5026,9229,10178,18459,25,46,50,92
1615938992,0,0,0,0,0,5071,9309,10268,18619,5051,9275,10228,18551,20,34,40,68
1615938993,0,0,0,0,0,5072,9315,10272,18631,5071,9309,10268,18619,1,6,4,12
